Title,Author,Genre,Height,Publisher
Fundamentals of Wavelets,"Goswami, Jaideva",signal_processing,228,Wiley
Data Smart,"Foreman, John",data_science,235,Wiley
God Created the Integers,"Hawking, Stephen",mathematics,197,Penguin
Superfreakonomics,"Dubner Stephen",economics,179,HarperCollins
Orientalism,"Said Edward",history,197,Penguin
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science,230,Springer
Integration of the Indian States,"Menon, V P",history,217,Orient Blackswan
"Drunkard's Walk, The","Mlodinow, Leonard",science,197,Penguin
Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing,241,CRC
How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,240,Penguin
Data Scientists at Work,Sebastian Gutierrez,data_science,230,Apress
Slaughterhouse Five,"Vonnegut, Kurt",fiction,198,Random House
Birth of a Theorem,"Villani, Cedric",mathematics,234,Bodley Head
Structure & Interpretation of Computer Programs,"Sussman, Gerald",computer_science,240,MIT Press
"Age of Wrath, The","Eraly, Abraham",history,238,Penguin
"Trial, The","Kafka, Frank",fiction,198,Random House
Statistical Decision Theory',"Pratt, John",data_science,236,MIT Press
Data Mining Handbook,"Nisbet, Robert",data_science,242,Apress
"New Machiavelli, The","Wells, H. G.",fiction,180,Penguin
Physics & Philosophy,"Heisenberg, Werner",science,197,Penguin
Making Software,"Oram, Andy",computer_science,232,O'Reilly
"Analysis, Vol I","Tao, Terence",mathematics,248,HBA
Machine Learning for Hackers,"Conway, Drew",data_science,233,O'Reilly
"Signal and the Noise, The","Silver, Nate",data_science,233,Penguin
Python for Data Analysis,"McKinney, Wes",data_science,233,O'Reilly
Introduction to Algorithms,"Cormen, Thomas",computer_science,234,MIT Press
"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,198,Penguin
"Outsider, The","Camus, Albert",fiction,198,Penguin
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,176,Random House
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,176,Random House
"Wealth of Nations, The","Smith, Adam",economics,175,Random House
"Pillars of the Earth, The","Follett, Ken",fiction,176,Random House
Mein Kampf,"Hitler, Adolf",nonfiction,212,Rupa
"Tao of Physics, The","Capra, Fritjof",science,179,Penguin
Surely You're Joking Mr Feynman,"Feynman, Richard",science,198,Random House
"Farewell to Arms, A","Hemingway, Ernest",fiction,179,Rupa
"Veteran, The","Forsyth, Frederick",fiction,177,Transworld
False Impressions,"Archer, Jeffery",fiction,177,Pan
"Last Lecture, The","Pausch, Randy",nonfiction,197,Hyperion
Return of the Primitive,"Rand, Ayn",philosophy,202,Penguin
Jurassic Park,"Crichton, Michael",fiction,174,Random House
"Russian Journal, A","Steinbeck, John",nonfiction,196,Penguin
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,172,HarperCollins
Freakonomics,"Dubner, Stephen",economics,197,Penguin
"Hidden Connections, The","Capra, Fritjof",science,197,HarperCollins
"Story of Philosophy, The","Durant, Will",philosophy,170,Pocket
Asami Asami,"Deshpande, P L",fiction,205,Mauj
Journal of a Novel,"Steinbeck, John",fiction,196,Penguin
Once There Was a War,"Steinbeck, John",nonfiction,196,Penguin
"Moon is Down, The","Steinbeck, John",fiction,196,Penguin
"Brethren, The","Grisham, John",fiction,174,Random House
In a Free State,"Naipaul, V. S.",fiction,196,Rupa
Catch 22,"Heller, Joseph",fiction,178,Random House
"Complete Mastermind, The",BBC,nonfiction,178,BBC
